name,prompt,negative_prompt
[ Quality ],,
DSLR Photo [Sharp & Shallow DOF],"The photo has the technical qualities of a digital SLR photograph shot with a large-aperture lens: a shallow depth of field with the subject in sharp focus and the background dissolving into smooth natural bokeh, accurate true-to-life color, high dynamic range holding detail in both highlights and shadows, fine resolved texture with no digital noise, and clean full-frame sensor clarity.","a low-resolution photograph with flat compressed dynamic range, visible digital noise, and deep depth of field showing the background in sharp focus"
High-Quality Photo [Clean & Detailed],"The photo has the technical qualities of a high-quality photograph: crisp fine detail resolved across the frame, accurate natural color with a full range of tones from deep shadows to bright highlights, no visible noise, blur, or compression artifacts, clean accurate optical rendering, and an overall crisp, high-fidelity clarity.","a low-quality photograph with noise, compression artifacts, flat washed-out color, and soft blurry detail"
Digital Photo [Clean & Processed],"The photo has the technical qualities of a high-quality digital photograph with noise-free rendering, clean colors, quality enhancing post-processing.","a low-quality photograph with noise, compression artifacts, flat washed-out color, and soft blurry detail"
[ Film Stocks ],__film/styles/film-stocks__,
Film Photo [Warm & Organic],"The photo is in the style of 35mm color film photography: natural color rendition with a slight warm cast, fine organic grain, faint halation around bright highlights, slightly lifted blacks, and the character of a vintage prime lens with softer corners.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Analog Photo [Casual Snapshot],"The photo is in the style of a casual analog point-and-shoot snapshot: direct on-camera flash falloff, slightly tilted framing, mild vignetting, muted consumer-film colors, fine visible grain, and the unposed feel of a photograph from a family album.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Grainy Film Photo [Coarse & Documentary],"The photo is in the style of high-ISO film photography shot on pushed 1600-speed stock: coarse visible grain across the frame, slightly deepened shadows, muted midtones, lowered color saturation, and a documentary mood.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Expired Film [Shifted & Degraded],"The photo is in the style of expired color film: mild magenta and green color shifts, slightly faded contrast, faint chemical fogging in the shadows, uneven grain, an occasional soft light leak near the frame edge, and an aged nostalgic quality.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodachrome [Saturated & Mid-Century],"The photo is in the style of Kodachrome slide film: warm saturated reds and pleasing skin tones, dense blacks, fine grain, crisp micro-contrast, and a mid-century reportage character.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Portra 400 [Soft & Flattering],"The photo is in the style of Kodak Portra 400 film: warm natural skin tones, fine grain, gentle contrast with shadow and highlight detail retained, and an understated, flattering portrait look.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Ektar 100 [Vivid & Crisp],"The photo is in the style of Kodak Ektar 100 film: slightly elevated yet natural saturation with clean reds and blues, fine grain, crisp contrast, and a clean look suited to landscapes and travel photography.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Ektachrome E100 [Clean & Cool],"The photo is in the style of Kodak Ektachrome slide film: a neutral palette leaning slightly cool, clean blues, fine grain, moderate contrast, and the clarity of a projected color transparency.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Gold 200 [Warm Amateur],"The photo is in the style of Kodak Gold 200 consumer film: a slight warm golden-yellow cast, gently raised saturation, fine visible grain, soft forgiving contrast, and the casual look of a 1990s family snapshot taken on a point-and-shoot camera.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Ultramax 400 [Punchy Amateur],"The photo is in the style of Kodak Ultramax 400 drugstore film: slightly elevated saturation with a warm bias, visible grain, everyday casual framing, and the relaxed amateur feel of vacation snapshots from a compact camera.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Kodak Tri-X 400 [Gritty B&W],"The photo is in the style of Kodak Tri-X black-and-white film: classic moderately coarse grain, firm contrast with deep blacks and bright highlights, and the direct character of street and photojournalism work.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Fujifilm Velvia 50 [Hyperreal Saturation],"The photo is in the style of Fujifilm Velvia 50 slide film: gently elevated saturation in the greens, reds, and blues, slightly raised contrast, fine grain, and the color rendering favored for landscape photography.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Fujifilm Provia 100F [Neutral & Precise],"The photo is in the style of Fujifilm Provia 100F slide film: faithful neutral color reproduction, balanced moderate contrast, fine grain, and a clean transparency look without exaggeration.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Fujifilm Superia 400 [Cool Amateur],"The photo is in the style of Fujifilm Superia 400 consumer film: a slightly cool palette with clean greens and blues, natural skin tones, gentle contrast, visible grain, and the easygoing look of everyday snapshots from a compact camera.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Fujifilm Pro 400H [Pastel & Airy],"The photo is in the style of Fujifilm Pro 400H film: soft natural color with gentle contrast, highlight and shadow detail retained, fine grain, and a faint mint-green tint confined to the deepest shadow areas.","a washed-out, high-key, overexposed photograph with pale faded colors, blown-out highlights, or an overall green color cast covering the entire image"
Fujifilm Acros 100 [Smooth B&W],"The photo is in the style of Fujifilm Acros black-and-white film: smooth fine grain, silvery graduated midtones, deep but detailed shadows, and a refined, quiet tonality.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Ilford HP5 Plus 400 [Classic B&W],"The photo is in the style of black-and-white Ilford HP5 film: monochrome silver-gelatin tonality with smooth midtone gradation, moderate classic grain, deep blacks that retain shadow detail, and understated documentary contrast.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Ilford Delta 3200 [Moody Night B&W],"The photo is in the style of Ilford Delta 3200 black-and-white film: coarse low-light grain, deep shadows, raised contrast, and the texture of handheld night photography.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
CineStill 800T [Neon Halation],"The photo is in the style of CineStill 800T tungsten-balanced cinema film: cool-leaning shadows against warm artificial lights, a subtle red halation glow around bright light sources, visible grain, and a nocturnal urban mood.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
Polaroid 600 [Dreamy Amateur],"The image is a full-frame, full-bleed borderless color film scan in the style of Polaroid 600 film: gently lifted blacks, muted warm colors leaning toward cream, mild vignetting, and an amateur snapshot feel; the image fills the entire frame edge to edge.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look; a white Polaroid-style border or frame around the image"
Polaroid SX-70 [Creamy & Vintage],"The image is a full-frame, full-bleed borderless color film scan in the style of Polaroid SX-70 film: muted creamy tones with a slight pastel drift, low contrast, and a warm 1970s photo character; the image fills the entire frame edge to edge.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look; a white Polaroid-style border or frame around the image"
Fujifilm Instax [Bright & Cheerful],"The image is a full-frame, full-bleed borderless color film scan in the style of Fujifilm Instax film: bright, slightly cool colors with clean saturation, soft forgiving contrast, a slight glow in the highlights, and a cheerful casual photo feel; the image fills the entire frame edge to edge.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look; a white Polaroid-style border or frame around the image"
[ Soviet Film ],__film/styles/soviet-film__,
Svema Foto 64 [Everyday Soviet B&W],"The photo is in the style of Soviet-era Svema black-and-white negative film: a modest gray tonality with soft, slightly veiled contrast, grayish blacks that never go fully deep, visible honest grain coarser than Western films of the same speed, muted midtone-heavy rendering, and the plain, unembellished documentary look of everyday photography in the USSR.","a polished black-and-white photograph with deep rich blacks, brilliant highlights, and refined fine grain"
Svema FN64 [Smooth Fine-Grain B&W],"The photo is in the style of slow fine-grain Soviet black-and-white film: a smooth, dimensional monochrome image with gentle controllable contrast, long soft gradation through the middle grays, fine tight grain, slightly pale skies, and a quiet, careful sharpness suited to unhurried daylight photography.","a harsh grainy photograph with crushed blacks, blown highlights, and aggressive contrast"
Tasma NK-2 [Gritty Reportage B&W],"The photo is in the style of fast Soviet reportage black-and-white film: pronounced coarse grain across the frame, elevated contrast with murky shadow detail, slightly rough uneven development character, a raw utilitarian rendering without any glamour, and the urgent everyday texture of Soviet press and street photography.","a smooth fine-grained photograph with delicate tonality and polished, even development"
Svema Color [Green-Leaning Muted],"The photo is in the style of Soviet Agfacolor-process color negative film: a distinctly muted palette with an overall green-cyan lean, desaturated reds that never reach full strength, weak grayish blacks with a faint fog, soft low-key saturation throughout, creamy ochre-tinted skin tones, and a subdued, melancholic color rendering unlike any Western film stock.","a vividly saturated photograph with strong pure reds, deep clean blacks, and a bright neutral color balance"
Sovcolor Cinema [1970s Soviet Film Look],"The photo is in the style of a 1960s-1980s Soviet color motion picture frame: soft muted color with a gentle green-teal bias in the shadows, warm ochre and olive midtones, restrained saturation with no bright pure colors anywhere, mild haze in the highlights, weak faded blacks, and the wistful, painterly color mood of Soviet-era cinema.","a punchy modern film still with saturated color, crisp deep blacks, and a clean neutral grade"
Soviet Slide Film [Weak Blacks & Shifted],"The photo is in the style of Soviet color reversal slide film: thin, slightly translucent blacks that read as dark gray rather than black, a subtle overall color cast drifting between green and magenta, modest saturation with dull blues, clear sharp detail despite the imperfect color, and the fragile, slightly wrong-but-charming palette of a projected Soviet transparency.",
Faded Color Print [Faded Colors],"A Soviet-era color film scan, gently faded: muted but clearly visible colors, slightly warm ochre midtones, a faint cool shift in the shadows, low contrast with soft milky blacks. Natural skin tones and desaturated greens and blues still read as color. High-quality scan, very fine and even film grain, filling the frame edge to edge.","a freshly printed photograph with accurate stable color, neutral gray shadows, full unfaded contrast, or any white border, photo frame, or mounted print edge around the image"
Faded Film Scan [Faded Colors],"A faded Soviet-era color film scan. Subdued palette: warm brown midtones, a slight magenta drift confined to the darker areas, washed low contrast. Still a color image, hues are aged and muted, not removed; skin, sky and foliage keep their color. High-quality scan with very fine and even film grain, full-frame.","a freshly printed photograph with accurate stable color, neutral gray shadows, full unfaded contrast, or any white border, photo frame, or mounted print edge around the image"
Aged Soviet Print [Violet-Brown Fade],"The photo is graded with the color decay of aged Soviet-era film stock: a slight violet-magenta shift creeping into the shadows, warm brown-ochre midtones giving it a slightly warm look, slightly washed-out contrast with fogged dusty violet blacks, and a chemically drifted color character. The image is a high-quality scan with fine and even film grain, and fills the entire frame edge to edge.","a freshly printed photograph with accurate stable color, neutral gray shadows, full unfaded contrast, or any white border, photo frame, or mounted print edge around the image"
Soviet Snapshot [Zenit & Ordinary Life],"The photo is in the style of an amateur Soviet-era 35mm snapshot taken on a basic manual camera: slightly missed exposure, muted green-gray color with weak blacks, visible grain, plain frontal framing of ordinary subjects, mild vignetting from a simple lens, and the unadorned, sincere feel of everyday family photography in the USSR.","a technically perfect photograph with precise exposure, sharp professional optics, and vivid accurate color"
[ DDR Film ],__film/styles/ddr-film__,
ORWO NP20 [Sharp DDR B&W],"The photo is in the style of ORWO NP20 black-and-white negative film: crisp fine grain, wide tonal latitude with detail well held in both shadows and highlights, gentle even gradation through the midtones, clean sharp rendering, and the reliable, well-engineered documentary look of East German professional black-and-white stock.","a low-contrast muddy photograph with blocked shadows, blown highlights, and coarse uneven grain"
ORWO UN54 [Newsreel Panchromatic],"The photo is in the style of ORWO UN54 panchromatic film: a utilitarian black-and-white image with wide exposure latitude suited to difficult available light, moderate grain, slightly compressed midtone contrast, honest unglamorous sharpness, and the plain functional character of East German newsreel and documentary cinematography.","a highly polished photograph with narrow controlled contrast, refined studio-grade tonality, and minimal grain"
Orwocolor Negative [Muted & Tinted],"The photo is graded like historic East German Orwocolor negative film: a washed, low-saturation palette that reads more color-tinted than truly colorful, subdued dusty reds that never reach full strength, a faint greenish-orange color bias running through the whole frame, soft flat contrast, and the imprecise, slightly off color rendering typical of DDR-era consumer color film.","a vividly saturated photograph with accurate pure colors, strong deep reds, and precise neutral color balance"
Orwochrom Slide [Faded & Off],"The photo is graded like a projected Orwochrom color slide: thin, slightly translucent blacks reading as pale gray, a subdued palette leaning toward muddy green and orange, dull unsaturated blues, soft low contrast, and the fragile, slightly wrong-color charm of an East German slide-projector transparency.","a photograph with dense pure blacks, accurate neutral color balance, and rich full saturation"
Wolfen NC500 [Green & Orange Cinematic],"The photo is in the style of Wolfen NC500 color negative film: a desaturated, cool-leaning palette dominated by muted greens and warm oranges, enhanced coarse grain, subdued shadow detail, restrained contrast, and the eccentric, nostalgic cinematic mood associated with Andrei Tarkovsky-era Soviet-bloc filmmaking.","a bright, punchy photograph with high saturation, clean neutral color, and fine minimal grain"
DDR Agfacolor Heritage [Pastel Subdued Reds],"The photo is in the style of early East German Agfacolor-process film: a wide, natural range of gentle pastel colors, distinctly subdued and softened reds rather than bold saturated ones, smooth restrained contrast, fine grain, and a calm, understated color rendering, quite unlike the bright punchy color of period Technicolor.","a hyper-saturated photograph with bold vivid reds, high contrast, and an exaggerated punchy color palette"
Aged DDR Photo [Green-Shift Fade],"The photo is graded with the color decay of an old East German color negative: an olive-green shift creeping into the shadows and midtones, faded dusty orange highlights, washed low contrast with foggy pale blacks, and a chemically drifted, decades-old color character. The image fills the entire frame edge to edge, with no border, frame, or mount around it.","a freshly printed photograph with accurate stable color, neutral gray shadows, full unfaded contrast, or any white border, photo frame, or mounted print edge around the image"
DDR Amateur Snapshot [Everyday Praktica],"The photo is in the style of an amateur East German 35mm snapshot taken on a basic consumer camera: slightly imprecise exposure, a muted, faintly greenish color cast with weak blacks, visible grain, plain frontal framing of ordinary daily-life subjects, mild lens vignetting, and the modest, unpretentious feel of everyday family photography in the GDR.","a technically perfect photograph with precise exposure, sharp professional optics, and vivid accurate color"
[ Decades ],__film/styles/decades__,
1920s Pictorialism [Soft & Painterly],"The photo is in the style of 1920s Pictorialist photography: a gently softened monochrome image with a warm sepia or platinum tone, diffused light, a slight atmospheric softness, and a romantic, painterly composition.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1920s Modernist [Sharp & Geometric],"The photo is in the style of 1920s modernist straight photography: crisp black-and-white rendering with geometric composition, diagonals and repeating forms, angular shadows, machine-age precision, and a New Objectivity aesthetic.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1920s Autochrome [Early Color & Pastel Grain],"The photo is in the style of an early Autochrome color plate: muted pastel colors with a fine grain, soft luminous light, slight blooming in the highlights, and the delicate quality of the earliest color photography.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1930s Documentary [Dust Bowl B&W],"The photo is in the style of 1930s American social documentary photography: black-and-white realism, natural daylight, weathered textures and worn surfaces rendered in full tonal detail, and the dignified, empathetic framing of Depression-era FSA fieldwork.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1930s Hollywood Glamour [Dramatic Portrait],"The photo is in the style of a 1930s Hollywood studio glamour portrait: luminous black-and-white with sculpted key lighting, deep shadows, a softly glowing complexion, carefully arranged highlights in the hair and eyes, and an idealized elegance.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1940s Film Noir [Hard Shadows],"The photo is in the style of 1940s film noir: black-and-white with low-key lighting, long shadows cast across the scene, slashes of light through blinds or fog, deep blacks, a moody urban atmosphere, and a cinematic mood.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1940s War Photojournalism [Gritty B&W],"The photo is in the style of 1940s wartime photojournalism: grainy black-and-white shot on the move, raised contrast, close framing, and the immediacy of a frontline press photograph.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1950s Kodachrome Americana [Saturated Nostalgia],"The photo is in the style of 1950s Kodachrome Americana: warm saturated reds and sunlit tones, dense blacks, fine grain, everyday scenes rendered in bright clean color, and the nostalgic glow of mid-century America.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1950s Street Photography [Candid B&W],"The photo is in the style of 1950s black-and-white street photography: a candid decisive moment caught on a 35mm rangefinder, natural available light, balanced classical composition, modest grain, and an observant, humanist eye for everyday life.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1950s Advertising [Cheerful Staged],"The photo is in the style of a 1950s color advertising photograph: a staged scene with even studio lighting, bright clean colors, careful styling, smiles and idealized domestic settings, and the commercial polish of the era.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1960s Fashion Editorial [Mod & Bold],"The photo is in the style of a 1960s mod fashion editorial: studio photography with graphic minimal backgrounds, poses full of movement, crisp monochrome or simple color blocking, and the energetic, youth-driven glamour of Swinging London.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1960s Psychedelic [Vivid Surreal],"The photo is in the style of 1960s psychedelic photography: vivid shifted colors with cross-processed tints, mild optical distortion, occasional lens flares, and a counterculture atmosphere.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1970s New Color [Mundane & Eggleston],"The photo is in the style of 1970s American New Color photography: an ordinary everyday scene elevated by precise composition, saturated dye-transfer color with notable reds, banal suburban subject matter treated with deadpan seriousness, and warm ambient light.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1970s Faded Snapshot [Warm & Washed],"The photo is in the style of a faded 1970s family snapshot: a warm yellow-orange color drift, lowered contrast, slight softness from a simple pocket camera, visible grain, slight vignetting, and the sun-faded nostalgia of an old photo album print.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1970s Rock Photography [Stage Light & Grain],"The photo is in the style of 1970s rock concert photography: grainy high-ISO film pushed in low light, colored stage lighting cutting through haze, dark backgrounds, sweat and energy frozen mid-motion, and a backstage-pass intimacy.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1980s Studio Glamour [Glossy & Airbrushed],"The photo is in the style of a 1980s studio glamour portrait: glossy saturated color, directional key light with a soft fill, a slight diffusion-filter sheen, confident styling and poses, and the polished look of a magazine cover of the era.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1980s Neon Night [City Lights],"The photo is in the style of 1980s neon night photography: long-exposure city scenes with pink, cyan and orange neon signage, wet streets reflecting colored light, dark blue skies, visible film grain, and a nocturnal urban atmosphere.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1980s Mall Portrait [Studio Backdrop & Kitsch],"The photo is in the style of a 1980s shopping-mall portrait studio photograph: a posed subject against a painted canvas or laser-grid backdrop, flat even flash lighting, slight softness, saturated consumer-film color, and an endearing amateur kitsch charm.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1990s Grunge Editorial [Raw & Desaturated],"The photo is in the style of a 1990s grunge-era editorial: desaturated moody color or flat monochrome, unpolished styling, natural window light or bare bulbs, visible grain, off-center casual framing, and a detached anti-fashion attitude.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1990s Disposable Camera [Harsh Flash Snapshot],"The photo is in the style of a 1990s disposable-camera snapshot: direct on-camera flash flattening the subject against a dark falloff background, party candidness, slightly green-shifted consumer film color, visible grain, and casual spontaneous framing.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
1990s Music Video Look [Cross-Processed & Cool],"The photo is in the style of 1990s cross-processed fashion and music photography: slightly shifted cyan-green skin tones with slightly elevated highlights, teal shadows, visible grain, tilted dynamic angles, and the alternative-culture energy of the MTV era.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
2000s Early Digicam [CCD & Harsh Flash],"The photo is in the style of an early-2000s compact digital camera snapshot: a low-resolution CCD-sensor look with slightly elevated color, direct on-camera flash, dark backgrounds with quick falloff, mild digital noise and compression artifacts, and casual party framing.","a modern high-resolution photograph with clean noise-free rendering, refined natural lighting, and professional composition"
2000s Y2K Aesthetic [Glossy & Futuristic],"The photo is in the style of Y2K-era photography:  subtle high-key lighting with a hint of a cool blue-and-silver cast, and a slight bloom on the highlights with a hint of commercial polish.","a muted, grainy vintage film photograph with faded colors and a nostalgic analog look"
2000s Paparazzi Flash [Tabloid Candid],"The photo is in the style of a 2000s tabloid paparazzi photograph: a candid subject caught mid-motion by direct flash at night, flattened frontal lighting, slightly bright highlights, a dark urban background, imperfect rushed framing, and a celebrity-culture immediacy.",a carefully composed studio photograph with soft flattering light and polished retouching
2000s Indie Sleaze [Grimy Party Flash],"The photo is in the style of late-2000s indie sleaze party photography: direct-flash nightlife shots with sweaty candid energy, elevated reds and greens, dark murky shadows, cluttered chaotic backgrounds, and an unfiltered downtown-scene attitude.","a clean, tasteful, professionally lit photograph with balanced colors and tidy composition"
2010s Instagram Fade [Matte & Warm],"The photo is in the style of an early-2010s filtered social photo: warm faded matte tones with lifted blacks, a soft peach-and-teal color wash, mild vignetting, slightly reduced dynamic range, and the cozy nostalgic mood of early Instagram filters.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
2010s VSCO Minimalism [Airy & Desaturated],"The photo is in the style of 2010s VSCO-era lifestyle photography: airy desaturated pastels with soft natural window light, generous negative space, muted greens and creamy skin tones, a light film-emulation grain, and a calm, curated minimalist mood.",a garish oversaturated photograph with harsh flash lighting and heavy HDR processing
2010s HDR Landscape [High Dynamic Range],The photo is in the style of 2010s HDR photography: high dynamic range and natural fine detail with decidedly polished digital look.,"a flat, muted, low-contrast photograph with soft natural tones and subtle grain"
2010s Teal and Orange [Cinematic Grade],"The photo is in the style of 2010s cinematic color grading: a teal-and-orange palette with cool cyan shadows against warm skin tones, shallow depth of field, anamorphic-feeling contrast, and a moody blockbuster-film-still atmosphere.",a flat ungraded photograph with neutral colors and even lighting
2010s Drone Aerial [Top-Down & Graphic],"The photo is in the style of 2010s drone aerial photography: a top-down or high-oblique view turning the landscape into graphic patterns, crisp detail, clean confident color, long shadows adding depth, and a clear sense of scale.",a ground-level photograph with a conventional eye-level perspective
2020s Clean Mirrorless [Sharp & Natural],"The photo is in the style of modern mirrorless-camera photography: sharp rendering with creamy shallow depth of field, accurate natural color, soft controlled highlight roll-off, subtle contrast, and a refined contemporary editorial cleanliness.","a degraded vintage photograph with heavy grain, color casts, light leaks, and soft focus"
2020s Golden Hour Lifestyle [Backlit & Warm Haze],"The photo is in the style of 2020s golden-hour lifestyle photography: warm low sun backlighting the subject with a rim of light, gentle lens flare and slight atmospheric haze, honeyed skin tones, soft bokeh, and a sun-drenched social-media warmth.",a harshly lit midday photograph with flat frontal light and cold clinical color
2020s Film Revival [Digital-Era Analog],"The photo is in the style of the 2020s film-photography revival: a contemporary scene shot on 35mm color negative film with fine organic grain, gentle halation on highlights, slightly muted true-to-life color, relaxed candid framing, and a deliberate, unhurried analog warmth.","a clinical digital photograph with noise-free rendering, oversharpened edges, and an HDR-processed look"
2020s Blurry Authenticity [Motion & Lo-Fi],"The photo is in the style of 2020s deliberately imperfect photography: slight intentional motion blur and casually missed focus, a spontaneous frame grabbed mid-moment, flash mixed with ambient smear, off-kilter composition, and an anti-polished, authentically chaotic energy.","a tack-sharp, perfectly focused, carefully composed professional photograph"
[ Digital Snapshots ],__film/styles/digital-snapshots__,
Phone Snapshot [Candid & Deep Focus],"The photo is in the style of a casual smartphone snapshot taken on the go: everything in the frame is in sharp focus with the deep depth of field of a small phone sensor, flat automatic HDR-balanced exposure, a slightly tilted horizon, loose careless framing that clips objects at the edges, and the unstaged, mid-moment feel of a photo taken in two seconds without composing.","a professional photograph with shallow depth of field, creamy bokeh, deliberate composition, and studio lighting"
Phone Snapshot [Night & Flash],"The photo is in the style of an amateur smartphone photo taken at night with the built-in flash: the subject hard-lit and slightly overexposed against a dark background that falls off quickly, flat frontal light with hard shadows behind the subject, everything in focus, crooked spontaneous framing, and a caught-in-the-moment party-photo energy.","a professional night photograph with balanced ambient lighting, tripod-stable framing, and cinematic color grading"
Front Camera Selfie [Arm's Length],"The photo is in the style of a front-camera phone selfie taken at arm's length: the face large in the frame and slightly wide-angle distorted from the close distance, one raised shoulder and part of an arm entering the frame from below, a high slightly-downward angle, everything from face to background in focus, uneven ambient lighting, and a spontaneous unposed self-shot feel with the horizon tilted.","a professional portrait with a telephoto lens, shallow depth of field, flattering studio lighting, and careful symmetrical composition"
