name,prompt,negative_prompt
Fisheye Selfie [0.5x Ultrawide],"The photo is in the style of a 0.5x ultra-wide phone selfie: fisheye-like barrel distortion stretching and curving the edges of the frame, the face slightly bulged at the center with exaggerated perspective, arms and surroundings warping outward toward the corners, a wide sweep of background visible and all of it in focus, playful chaotic framing from a low or overhead arm angle, and a goofy spontaneous group-selfie energy.","a professional portrait with a rectilinear telephoto lens, natural undistorted proportions, shallow depth of field, and formal composition"
Mirror Selfie [Phone Visible],"The photo is in the style of a casual mirror selfie: the subject photographing their own reflection with the smartphone visible in hand partially covering or beside the face, flat indoor ambient lighting, everything in focus, a cluttered everyday room reflected in the background, slightly tilted framing, and a relaxed unglamorous self-documented feel.","a professional studio portrait with the camera hidden, controlled lighting, tidy background, and polished composition"
Tourist Snapshot [Rushed & Clipped],"The photo is in the style of a rushed tourist phone snapshot: a landmark or scene photographed hastily among other people, a tilted horizon, strangers walking through the frame with limbs cut off at the edges, everything in deep focus, flat midday automatic exposure, and the artless hurried framing of someone taking a quick photo before moving on.","a professional travel photograph with golden-hour light, a level horizon, clean composition, and no photobombing passersby"
Table Food Snap [Overhead & Casual],"The photo is in the style of a casual phone photo of food taken at the table: shot from a seated position at a slightly-off overhead angle, mixed indoor restaurant lighting with a mild color cast, the plate partially cropped along with cutlery, glasses and a companion's hands at the frame edges, everything in focus, and an unstyled quick before-eating snapshot feel.","a professional food photograph with styled plating, controlled soft lighting, shallow depth of field, and a clean composed layout"
[ Flash Photography ],__film/styles/flash-photography__,
Direct Flash [Hard & Frontal],"The photo is in the style of direct on-camera flash photography: crisp dark shadows, bright slightly specular skin and surfaces, quick falloff into darker surroundings, saturated punchy color.","a softly lit photograph with diffused natural light, gentle gradual shadows, and a gentle atmospheric mood"
Amateur Flash [Careless Snapshot],"The photo is in the style of an amateur flash snapshot: hard built-in flash firing straight at the subject with slightly blown highlights on the nearest surfaces, a tilted hasty composition that clips parts of the subject at the frame edge, the background dropping quickly into murky darkness, everything in focus, and the artless caught-mid-moment feel of a photo taken without warning or care.","a professional photograph with balanced studio lighting, careful level composition, and a well-exposed background"
Surprise Flash [Startled & Caught],"The photo is in the style of a sudden surprise flash photo: the subject caught off guard by the burst of light, eyes wide and body frozen mid-reaction, turned partly toward the camera as if just noticing it, hard frontal flash brightening the nearest surfaces with a crisp shadow thrown behind, dark surroundings swallowing the edges of the frame, and the jolting candid energy of a photo nobody expected.","a posed photograph with a relaxed prepared subject, soft flattering lighting, and calm deliberate composition"
Party Flash [Close & Chaotic],"The photo is in the style of close-range party flash photography: the subject filling the frame at arm's length with hard direct flash, glossy highlights on skin and drinks, motion smear in the dim edges where ambient light trails, other people's limbs and heads crowding into the frame partially cut off, deep black falloff behind, and a loud sweaty midnight chaos.","a quiet, orderly photograph with soft even lighting, generous space around the subject, and a calm composed scene"
Flash at Dusk [Lit Subject & Blue World],"The photo is in the style of flash photography at dusk: the subject crisply lit by direct flash and popping forward from a deep twilight-blue ambient background that remains moodily underexposed, a slight unnatural cutout quality separating the lit subject from the darkening world, cool sky tones against the flash's neutral light, and a cinematic staged-documentary tension.",a photograph with uniform natural lighting where the subject and background share the same soft ambient exposure
Ring Flash Editorial [Shadowless & Glossy],"The photo is in the style of ring flash editorial photography: even shadowless frontal light wrapping the subject, a thin dark halo-like shadow tracing the subject's outline against the backdrop, glossy circular catchlights, flattened fashion-forward contrast with saturated color, tight centered framing, and a slick provocative magazine directness.","a photograph with directional side lighting, deep modelling shadows, and a soft natural rendering"
Flash Through Crowd [Obstructed & Urgent],"The photo is in the style of a flash photo forced through a crowd: the main subject lit by direct flash in the middle distance while out-of-focus heads, shoulders and raised hands intrude dark and half-lit into the foreground edges, the flash catching dust and haze in the air, hurried off-center framing, and the urgent shoved-forward energy of shooting over people to get the picture.","a clear unobstructed photograph with an open foreground, stable framing, and even controlled lighting"
[ The Misc Bin ],__film/styles/the-misc-bin__,
CCTV Security [Overhead & Surveillance],"The photo is in the style of a security camera frame: a high fixed corner-mounted viewpoint looking down at the scene, wide-angle coverage with mild distortion, flat washed-out contrast under flat fluorescent or infrared-assisted lighting, muted desaturated color, soft low-detail rendering, and a small timestamp overlay in the corner of the frame.","a professional photograph with eye-level framing, rich color, sharp detail, and deliberate artistic composition"
Dashcam [Windshield & Wide],"The photo is in the style of a dashcam still: a wide-angle view through a car windshield from the dashboard, the hood edge visible at the bottom of the frame, slightly curved wide-lens geometry, flat automatic exposure struggling with bright sky and dark road, mild motion softness, and utilitarian recording-device rendering.","a professional photograph with careful framing, balanced exposure, and cinematic color grading"
Trail Camera [IR Night & Wildlife],"The photo is in the style of a nighttime trail camera capture: monochrome infrared illumination glowing brightest at the center and falling off at the edges, animal or subject eyes reflecting as bright glowing points, grayscale with bright near-foreground foliage, a fixed low mounting angle, and the automated feel of a motion-triggered wildlife camera.","a professionally lit night photograph with natural color, soft controlled lighting, and composed framing"
GoPro Action [Ultra-Wide POV],"The photo is in the style of an action camera shot: an ultra-wide first-person perspective with fisheye barrel curvature at the edges, everything from an outstretched arm or gear in the foreground to the horizon in sharp focus, vivid color, bright outdoor exposure, dynamic mid-action energy, and a mounted or handheld point-of-view feel.","a professional photograph with a telephoto lens, natural rectilinear perspective, shallow depth of field, and static tripod framing"
Underwater Disposable [Murky Flash],"The photo is in the style of an underwater disposable camera photo: a green-blue murky color cast deepening with distance, suspended particles lit by the small built-in flash, soft hazy contrast, limited visibility fading to teal, slightly warped casual framing, and the cheap cheerful feel of a vacation waterproof camera.","a professional underwater photograph with powerful strobe lighting, crystal-clear water, vivid corrected color, and crisp detail"
VHS Camcorder Still [Scanlines & Smeared],"The photo is in the style of a paused VHS camcorder frame: soft smeared low-resolution video texture with visible horizontal scanlines, bleeding saturated reds, slight color fringing and ghosting around edges, washed-out highlights, a home-video amateur framing, and the warm degraded look of a 1990s tape recording.","a modern high-resolution photograph with crisp detail, accurate color separation, and clean noise-free rendering"
2000s Webcam [Low-Res & Indoor],"The photo is in the style of an early webcam capture: a low-resolution soft mushy image lit by a computer monitor's glow and dim room light, muddy color with a slight magenta or green cast, blocky compression softness, a fixed desk-level angle looking up at the subject, and the intimate awkward feel of a mid-2000s video-chat still.","a professional portrait with high resolution, flattering studio lighting, and sharp clean detail"
Tilt-Shift Miniature [Toy World],"The photo is in the style of tilt-shift miniature photography: a real scene photographed from a high vantage point with a narrow horizontal band of sharp focus and smooth blur above and below, boosted saturation and contrast making everything look like a hand-painted scale model, tiny toy-like people and vehicles, and a charming diorama effect.","a conventional photograph with uniform focus, natural saturation, and eye-level perspective"
Holga Toy Camera [Lo-Fi Vignette],"The photo is in the style of a Holga toy camera photograph: dark vignetting closing in from the corners, a soft plastic-lens blur that is sharpest only at the center, unpredictable light leaks, saturated shifted color on medium-format film, and a lo-fi accidental artistry.","a technically perfect photograph with edge-to-edge sharpness, even illumination, and accurate color"
Kodak Aerochrome [Infrared Pink],"The photo is in the style of Kodak Aerochrome color infrared film: healthy green foliage rendered in pinks, magentas and reds while skies stay deep cyan-blue and water goes dark, fine grain, otherwise realistic scene geometry, and the uncanny palette of infrared-sensitive false-color film.",an ordinary photograph with natural green foliage and realistic true-to-life color
Wet Plate Collodion [1800s & Silvery],"The photo is in the style of a wet plate collodion photograph: a silvery monochrome image on a glass or metal plate with shallow swirling focus falloff, chemical streaks, drips and uneven development around the edges, pale rendered skies, long-exposure stillness in the subject, and the haunting handmade texture of 1850s-1870s photography.","a modern photograph with clean digital rendering, color, fast-shutter sharpness, and flawless even development"
Daguerreotype [Mirror Plate],"The photo is in the style of a daguerreotype: a finely detailed monochrome image on a polished silver mirror-like plate, delicate tonal shimmer that shifts between positive and negative, a formal stiffly posed subject from a long exposure, soft edge vignetting from the plate housing, and the jewel-like precision of the earliest photographic process.","a modern casual photograph with color, spontaneous posing, and clean matte digital rendering"
Cyanotype [Prussian Blue],"The photo is in the style of a cyanotype print: the entire image rendered in deep Prussian blue and white with no other color, soft contact-print contrast, slightly textured watercolor-paper surface showing through, hand-coated brush strokes visible at the borders of the emulsion, and a delicate antique blueprint quality.",a full-color photograph with sharp digital rendering and a smooth glossy surface
Double Exposure [Layered & Ghostly],"The photo is in the style of an in-camera double exposure on film: two scenes overlapping translucently in a single frame, the brighter areas of one image ghosting through the shadows of the other, silhouettes filled with a second landscape or texture, soft film grain unifying both layers, and a poetic accidental surrealism.","a single clean exposure with one subject, opaque solid forms, and no overlapping imagery"
Flatbed Scan [Scanography & Pressed],"The photo is in the style of scanography made on a flatbed scanner: objects or a face pressed directly against the glass, sharp where they touch and falling off rapidly into black shallow depth, even shadowless scanner-bar illumination sweeping across the subject, slight squashing where surfaces meet the glass, and a clinical black void background.","a conventional photograph taken with a camera at a distance, with perspective depth, ambient lighting, and a real background"
Passport Photo [Flat & Bureaucratic],"The photo is in the style of an official passport or ID photo: a head-and-shoulders subject facing the camera dead-on with a neutral expression against a plain uniform light background, flat even shadowless lighting, centered rigid framing, everything in focus, slightly unflattering documentary neutrality, and a bureaucratic institutional plainness.","a flattering professional portrait with directional lighting, an expressive pose, shallow depth of field, and an artistic background"
[ Lighting ],__film/styles/lighting__,
Rim Light [Glowing Edge],"The photo is lit with rim lighting: a bright light source behind the subject tracing a luminous glowing edge along its contour, separating it cleanly from a darker surrounding, the front of the subject falling into soft shadow with only faint detail, hair, fibers or fine edges catching the light like a halo, and a sculpted depth.",a flatly lit photograph with even frontal illumination and no separation between subject and background
Chiaroscuro [Deep Shadow Drama],"The photo is lit in chiaroscuro: a single directional light carving the subject out of deep enveloping darkness, bright form emerging from near-black shadow with a slow tonal turn across curved surfaces, most of the frame swallowed in rich dark tones, painterly baroque contrast, and a quiet gravity.","a brightly lit photograph with open shadows, even illumination across the whole frame, and low contrast"
Extreme Chiaroscuro [Pitch Black & Stark],"The photo is lit in high-contrast chiaroscuro: a single hard directional light striking the subject while everything outside its narrow reach falls into pitch-black darkness with no visible detail or gradation, the boundary between lit and unlit areas abrupt rather than gradual, illuminated surfaces rendered bright and clean against a void-like black background, minimal shadow fill or ambient light, and a theatrical starkness.","a low-contrast photograph with soft gray shadows, gentle gradation, visible shadow detail, and ambient fill light"
Sculpting Light [Contours & Folds],"The photo is lit with low-angled sculpting light that emphasizes form: light skimming across the subject so every curve, fold and crease casts its own small soft shadow, surfaces modeled in smooth gradients from highlight to shade, fabric and skin rendered with tactile dimensional relief, gentle falloff wrapping around shapes, and a sensual, form-revealing depth.",a flatly lit photograph with frontal shadowless light that erases surface relief and texture
Soft Diffused Light [Gentle & Wrapping],"The photo is lit with large soft diffused light: gentle illumination wrapping around the subject from a broad source, shadows that are present but feathered with slow soft edges, smooth flattering tonal transitions, delicate highlight roll-off with nothing blown out, muted quiet contrast, and a calm enveloping tenderness.","a harshly lit photograph with hard-edged shadows, glaring specular highlights, and abrupt contrast"
Split Light [Half in Shadow],"Hard directional light strikes the subject from one side only: the near cheek and shoulder glow brightly while the far cheek and shoulder sink into deep, contrasty shadow, the light stopping right at the ridge of the nose or the edge of the form rather than at the edge of the photo. Minimal shadow fill, graphic contrast confined to the subject, sculptural in effect.","a photograph visually divided into two halves, a bisected or split-screen composition, a before-and-after comparison image, or two panels side by side"
Raking Texture Light [Grazing & Tactile],"The photo is lit with raking light grazing across surfaces at a shallow angle: every ridge, grain, pore, thread and imperfection throwing a long micro-shadow, texture exaggerated into tangible relief, a lateral direction with deep shadow pooling in recesses, and a touchable material richness.",a frontally lit photograph with flat illumination that flattens all surface texture and detail
Silhouette Backlight [Dark Shape & Bright Ground],"The photo is lit as a backlit silhouette: the subject rendered as a dark, detail-less shape against a brighter luminous background, a clean readable outline carrying all the information, perhaps a thin bright fringe where light bends around the edge, deep shadow tones in the foreground, and a graphic simplicity.","a photograph with the subject fully lit from the front, rich in surface detail, against a darker background"
Dappled Light [Broken Patterns],"The photo is lit with dappled light: illumination broken into irregular patches and speckles falling across the subject, as if filtered through leaves, blinds or a perforated surface, alternating pools of warm light and soft shadow wandering over forms, high local contrast within a gentle overall exposure, and a lively, shifting painterly quality.",a photograph with smooth uniform illumination and no pattern or variation in the light
[ Composition ],__film/styles/composition__,
Rule of Thirds [Classic Balance],"The photo is composed on the rule of thirds: the main subject placed off-center at an intersection of the frame's third-lines, the horizon or dominant line resting on a third rather than the middle, breathing room in the direction the subject faces or moves, and a relaxed, naturally balanced arrangement.",a photograph with the subject placed dead center and the horizon splitting the frame in half
Central Symmetry [Formal & Frontal],"The photo is composed with central symmetry: the subject placed exactly in the middle of a frontally faced scene, left and right halves of the frame mirroring each other, verticals upright, a formal stillness, and a deliberate, ceremonial precision.","a casually framed photograph with an off-center subject, tilted lines, and loose asymmetric balance"
Asymmetric Balance [Weighted Tension],"The photo is composed with asymmetric balance: a large dominant element on one side of the frame counterweighted by a smaller distant element on the other, generous unequal areas of space between them, visual weight distributed unevenly yet feeling resolved, and a quiet compositional tension.",a symmetrical photograph with the subject centered and elements evenly mirrored
Dynamic Diagonal [Energy & Motion],"The photo is composed on diagonals: the main lines of the scene running corner to corner, the subject aligned along a tilted axis that pulls the eye across the frame, a slight intentional camera cant amplifying the slant, converging angles adding momentum, and a restless kinetic energy.",a static photograph built on level horizontals and upright verticals with a calm stable structure
Tight Crop [Fragment & Intimate],"The photo is composed as a tight crop: the frame cutting into the subject so only a fragment fills the entire image, edges slicing through forms without apology, no visible surroundings or context, textures and partial shapes becoming the whole story, and a confrontational intimacy.",a wide photograph showing the entire subject with generous space and full context around it
Frame Within Frame [Nested View],"The photo is composed as a frame within a frame: the subject seen through an opening - a doorway, window, arch, gap or aperture - whose dark or contrasting edges border the image on several sides, the inner scene brighter or sharper than the surrounding frame, layered depth between viewer and subject, and a voyeuristic sense of looking into another space.",an open unobstructed photograph with nothing bordering or enclosing the view of the subject
Layered Depth [Foreground & Midground & Distance],"The photo is composed in distinct layers of depth: a clear foreground element anchoring the bottom or edge of the frame, the main subject in the midground, and a receding background plane behind, overlapping planes establishing scale and distance, and a rich dimensional recession from front to back.",a flat single-plane photograph with no foreground interest and no sense of receding distance
Dutch Angle [Tilted Unease],"The photo is composed on a Dutch angle: the entire frame deliberately rotated so the horizon and verticals lean to one side, the subject held askew within the tilted geometry, a destabilized off-kilter reading of an otherwise coherent scene, and an undercurrent of unease and drama.",a level photograph with a straight horizon and upright verticals
[ Camera position & optics ],__film/styles/camera-position-optics__,
Low Angle [Looking Up & Heroic],"The photo is taken from a low angle looking up at the subject: the camera positioned near ground level and tilted upward, the subject towering against the sky or ceiling, converging vertical lines rising through the frame, foreground ground plane compressed at the bottom edge, and an imposing, monumental presence.",a photograph taken at eye level with a neutral straight-on perspective
High Angle [Looking Down & Diminished],"The photo is taken from a high angle looking down at the subject: the camera positioned well above and tilted downward, the ground filling most of the background, the subject appearing smaller and enclosed by its surroundings, flattened vertical forms, and a quietly observational, diminishing effect.",a photograph taken from a low position looking upward at a towering subject
Overhead Top-Down [Flat Lay & Graphic],"The photo is taken directly overhead, pointing straight down: the scene rendered as a flat graphic plane with no horizon, shapes and objects reading as a two-dimensional arrangement, shadows falling flat across the surface, precise perpendicular geometry, and a clean map-like abstraction.",a photograph taken at an oblique angle with visible horizon and receding perspective depth
Worm's Eye [Ground Level & Extreme],"The photo is taken from a worm's eye view at ground level: the camera resting on or nearly touching the ground, blades of grass, pavement texture or floor detail looming large and soft in the immediate foreground, the subject rising steeply above with steep upward convergence, and a miniature-observer perspective.","a photograph taken from standing height with a level, ordinary viewpoint"
Telephoto Compression [Stacked & Flattened],"The photo is taken with a long telephoto lens from far away: perspective compressed so distant planes stack tightly behind the subject, background elements appearing enlarged and close, flattened spatial depth with layers pressed together, a narrow slice of the scene isolated from afar, and a calm, compressed density.","a wide-angle photograph with exaggerated depth, stretched perspective, and a vast receding background"
Wide-Angle Proximity [Close & Stretched],"The photo is taken with a wide-angle lens from very close to the subject: near parts of the subject enlarged and gently stretched toward the viewer, perspective exaggeration with the background sweeping away small and distant, edges of the frame pulling outward, an immersive in-the-scene closeness, and a lively spatial energy.","a telephoto photograph taken from a distance with compressed, flattened perspective"
Macro Distance [Tiny World & Huge],"The photo is taken at macro distance: a very small subject filling the entire frame at larger-than-life magnification, a thin plane of focus falling away quickly in front and behind, fine surface structures resolved in fine detail, the surrounding world reduced to soft abstract color, and an intimate revelation of an unseen scale.",a photograph taken at normal distance where the subject appears at ordinary size within its surroundings
Shoulder-Level Candid [Human Height & Present],"The photo is taken from natural shoulder height at conversational distance: a straightforward human vantage as if standing in the scene, modest perspective, the subject seen the way a person present would see it, unremarkable honest geometry, and a grounded, participatory realism.","a photograph taken from an extreme, unnatural vantage point far above or below the subject"
[ Color & tonality ],__film/styles/color-tonality__,
Muted Earth Tones [Subdued & Organic],"The photo is graded in muted earth tones: a restrained palette of ochre, olive, clay, sand and brown, saturation pulled down to a quiet hum, gentle contrast with soft warm shadows, greens leaning dusty and khaki, and a grounded, organic subtlety.",a vividly saturated photograph with bright primary colors and high contrast
High-Key [Bright & Weightless],"The photo is graded high-key: the entire tonal range lifted toward bright luminous whites, shadows thin and pale, delicate low contrast with detail held in the highlights, airy pale colors dissolving toward the edges, and a weightless, optimistic lightness.",a dark moody photograph dominated by deep shadows and heavy black tones
Low-Key [Dark & Reticent],"The photo is graded low-key: the frame dominated by deep blacks and dark tones, only select surfaces rising into light, rich shadow detail sinking into darkness, restrained slivers of highlight, and a hushed, reticent gravity.",a bright airy photograph with pale tones and luminous shadowless lighting
Monochrome Duotone [Two-Tone & Graphic],"The photo is graded as a duotone: the entire image rendered in only two colors, shadows mapped to one deep hue and highlights to a second contrasting tone, no other color present anywhere, smooth gradients between the two, and a graphic poster-like unity.",a full-color photograph with a natural varied palette
Bleach Bypass [Desaturated & Harsh],"The photo is graded with a bleach bypass effect: desaturated color retaining only ghostly hints of hue, elevated contrast with chalky highlights and dense gritty shadows, a silvery metallic cast over the whole frame, and a bleak, hardened mood.",a warmly saturated photograph with soft contrast and rich natural color
Pastel Wash [Faded & Tender],"The photo is graded in a pastel wash: colors diluted toward powdery pinks, milky blues, soft mints and creams, low gentle contrast with lifted hazy blacks, highlights melting softly together, and a tender, faded sweetness.","a punchy photograph with deep blacks, strong contrast, and fully saturated color"
Golden Warmth [Amber & Honeyed],"The photo is graded with golden warmth: the whole frame bathed in amber and honey tones, whites leaning cream, shadows warm brown rather than gray, saturation gently boosted in the yellows and oranges, and an enveloping late-afternoon glow.",a cold photograph graded in steely blue tones with neutral gray shadows
Cold Steel [Blue-Gray & Distant],"The photo is graded cold: a steely blue-gray cast over the entire frame, whites leaning icy, skin and warm materials drained toward neutral, shadows sunk in slate and teal, restrained saturation, and a detached, wintry distance.",a warm photograph bathed in golden amber tones with honeyed shadows
[ Atmosphere ],__film/styles/atmosphere__,
Dense Fog [Vanishing & Soft],"The scene is filled with dense fog: the subject emerging half-dissolved from a pale gray-white murk, contrast collapsing with distance until the background vanishes entirely, colors desaturated and cool, edges softened everywhere, sound-swallowing stillness made visible, and a muffled, dreamlike isolation.",a crystal-clear scene with sharp distant detail and full contrast to the horizon
Light Haze [Milky Depth],"The scene is filled with light atmospheric haze: distant planes progressively paler and milkier than the foreground, a gentle bloom around bright areas, slightly lifted blacks and softened contrast, depth rendered as layers of fading tone, and a calm, breathing openness.",a perfectly transparent scene with equal clarity and contrast at every distance
Rain [Wet & Streaked],"The scene is caught in falling rain: thin streaks of rain visible against darker areas, every surface wet and glistening with reflections, droplets beading and running on foreground objects, colors deepened by moisture with mirror-like puddles, overcast dim light, and a drenched, melancholic freshness.",a dry sunlit scene with matte surfaces and no moisture anywhere
Dust in Light [Particles & Shafts],"The scene is filled with fine dust suspended in the air: visible shafts of light cutting through the particles as glowing volumetric beams, motes drifting and sparkling where the light catches them, hazy bloom around the brightest areas, shadowed zones staying soft and dim, and a thick, tangible stillness.",a scene with perfectly clean transparent air and no visible light beams or particles
Heat Shimmer [Wavering & Scorched],"The scene wavers with heat shimmer: the air above hot surfaces visibly rippling and distorting the background into a liquid wobble, bleached high-noon light, pale scorched colors, hard short shadows, distant forms melting into mirage-like blur, and an oppressive, baking dryness.",a cool crisp scene with stable undistorted air and clear distant detail
Snowfall [Drifting Flakes & Hushed],"The scene is caught in falling snow: soft flakes drifting through the air in and out of focus, nearer ones as pale blurred discs, surfaces gathering a fresh white layer, muted gray-white light with gentle contrast, breath-visible cold, and a hushed, slow serenity.",a warm clear scene with no precipitation and bare dry surfaces
Smoke and Mist [Curling & Theatrical],"The scene is veiled in drifting smoke and mist: curling translucent layers winding between the viewer and the subject, light scattering into soft glowing pockets within the vapor, partial concealment and reveal of forms, deepened mystery in the shadowed areas, and a slow, theatrical drama.",a clean open scene with transparent air and nothing veiling the subject
[ Moment & motion ],__film/styles/moment-motion__,
Frozen Instant [Split-Second & Crisp],"The photo captures a frozen split-second: fast motion arrested with crispness, droplets, debris or hair suspended mid-air, a gesture or impact held at its peak moment, no motion blur anywhere in the frame, and a time-stopped clarity.","a photograph with long-exposure blur, streaking motion, and smeared moving elements"
Long Exposure [Smeared Time],"The photo is a long exposure: everything moving during the exposure smeared into soft translucent trails, water blurred to silk, lights drawn into ribbons, clouds streaked across the sky, while stationary elements remain sharp, and a serene, time-stretched calm.",a fast-shutter photograph freezing all motion into crisp static detail
Panning Motion [Sharp Subject & Streaked World],"The photo is shot with a panning technique: the camera tracking a moving subject so the subject stays relatively sharp while the entire background streaks into horizontal motion blur, speed rendered as smeared lines rushing past, slight imperfect softness on the subject's fastest parts, and a sensation of velocity.",a static photograph where both subject and background are uniformly sharp and motionless
Mid-Gesture Candid [Unposed & Between],"The photo captures an unposed moment mid-gesture: the subject caught between actions rather than at a peak, a hand half-raised, a glance in transit, weight shifting mid-step, slight natural imperfection in the timing, and the honest awkward grace of a moment nobody arranged.","a posed photograph with the subject settled, arranged, and holding still for the camera"
Motion Blur Subject [Ghosted Movement],"The photo shows the subject blurred by its own movement: the moving subject smeared into a translucent ghost while the surrounding scene stays sharp and still, edges of the figure trailing into the space it passed through, stationary details in crisp contrast, and a haunting sense of transience.",a photograph where the subject is frozen sharp with no trace of movement
[ Focus & depth ],__film/styles/focus-depth__,
Shallow Focus [Isolated & Creamy],"The photo has shallow depth of field: only a thin plane of the subject in crisp focus while everything before and behind melts into smooth creamy blur, background forms reduced to soft washes of color and rounded glows, the subject lifted cleanly out of its surroundings, and a hushed, isolating intimacy.",a photograph with deep focus where every plane from foreground to horizon is equally sharp
Deep Focus [Everything Sharp],"The photo has deep focus: every plane rendered sharp from the immediate foreground to the far distance, no blur separating subject from surroundings, dense readable detail throughout the frame, spatial relationships fully visible, and a democratic, all-seeing clarity.",a photograph with shallow focus where only a thin slice is sharp and the rest dissolves into blur
Soft Focus Bloom [Diffused & Dreamy],"The photo is rendered in gentle soft focus: fine detail diffused into a delicate glow without being out of focus, highlights blooming softly beyond their edges, contrast lowered into a tender veil, textures smoothed while forms stay readable, and a romantic, dreamlike gauze over the whole frame.",a clinically sharp photograph with crisp micro-detail and hard-edged highlights
